ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Bien_actuellement_loué,Nombre_de_chambres_à_coucher,Caves,Grenier,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Garage,Nombre_de_Garages,Nombre_de_salles_de_bain,Nombre_de_façades,Jardin,Surface_totale_du_terrain,Piscine_extérieure,Conso_spécifique_dénergie_primaire,Référence_PEB,Date_de_validité_PEB,Attestation__Installation_électrique,Affectation_urbanistique_la_plus_récente,Type_de_zone_inondable,Zone_inondable_délimitée,Année_de_construction,Disponibilité_du_bien,Surface_habitable,Équipement_de_la_cuisine,Nombre_de_toilettes,Type_de_chauffage,Type_de_vitrage,Air_conditionné,Alarme_antieffraction,Ascenseur,Accessible_aux_moins_valides,Orientation_de_la_façade_du_bien,Nombre_détages_de_limmeuble,Nombre_de_places_de_parking_extérieur,Terrasse_aménagée,Balcon,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Le_bien_fait_lobjet_dun_droit_de_préemption,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Panneaux_solaires,Pompe_à_chaleur,Orientation_du_jardin,Raccordé_à_leau_courante,Meublé,Nombre_de_place_de_parking_intérieur,Type_de_cuisine,Raccordé_aux_égouts,Citerne_à_eau_de_pluie,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Espace_ouvert_sensible_à_leau__WORG,Parlophone,Raccordé_au_gaz_de_ville,Surface_du_séjour,Surface_du_bureau,Surface_de_la_véranda,Surface_de_la_cuisine,Panneaux_solaires_thermiques,Chauffage_au_sol,Compteur_électrique_individuel,Domotique,Porte_daccès_sécurisée,Largeur_de_la_façade,Surface_constructible,Largeur_du_terrain_à_rue,Attestation__Citernes_à_mazout,Maison_basse_énergie,Compteur_Bihoraire,Nombre_de_douches,Étage_de_lappartement,Profondeur_du_terrain,Surface_de_la_terrasse,Surface_chambre_à_coucher_1,Conso_annuelle_totale_dénergie_primaire,Emission_de_CO2,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_salle_à_manger,Niveau_E,Surface_du_jardin,Niveau_K,Attestation__Asbuilt,Surface_des_caves,Surface_de_lades_salles_de_bain,Feu_ouvert,Orientation_de_la_terrasse,Porte_de_garage_motorisée,Clef_électronique,HammamSaunaJacuzzi,Attestation__Installation_électrique__Validité,Adoucisseur_deau,Surface_du_grenier,Attestation__Citernes_à_mazout__Validité,Station_de_charge_électrique,Surface_chambre_à_coucher_5,Surface_du_garage,Possibilités_pour_profession_libérale,Surface_totale,Compteur_deau_individuel,Compteur_de_gaz_individuel,Adaptations_pour_les_seniors,Appartement_de_service,Niveau_S,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Surface_du_dressing
https://immovlan.be/fr/detail/maison/a-vendre/9630/beerlegem/rbt69835,RBT69835,Maison à vendre,275000,Beerlegemsebaan 22,9630 Beerlegem,À rénover,Non,3,Non,Non,Non,Non,Non,Non,Non,Oui,1,1,4,Oui,4106 m²,Non,648 kWh/m²/an,202211080002719368-RES-1,11/08/2032,"oui, attestation non conforme","Zone d'habitat (résidentiel, urbain ou rural)",Information non communiquée,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9630/zwalm/rbs94891,RBS94891,Maison à vendre,225000,Wafelstraat 51,9630 Zwalm,,Non,3,Non,Non,Non,Non,Non,Non,Non,Oui,3,1,3,Oui,624 m²,,491 kWh/m²/an,20250327-0003537182-RES-1,,,Zone agricole d'intérêt paysager,Pas de risque d’inondation,Information non communiquée,1918,A l’acte,139 m²,Equipée,1,Mazout,Double vitrage,Non,Non,Non,Non,Est,2,3,Oui,Non,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9630/zwalm/rbt48031,RBT48031,Maison à vendre,466500,Kerkstraat 34A,9630 Zwalm,Nouveau,Non,4,Non,Non,Non,Non,Non,Non,Non,Oui,1,2,3,Oui,427 m²,Non,,,,"oui, attestation conforme","Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,2024,,193 m²,,2,,Double vitrage,,,,,,,,Oui,,,,,,Oui,Oui,Sud,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9630/zwalm/rbt47124,RBT47124,Maison à vendre,355000,Borstekouterstraat 25,9630 Zwalm,À rénover,Non,3,Oui,,,,,,,Oui,1,1,4,Oui,1912 m²,Non,603 kWh/m²/an,,,"oui, attestation non conforme",,Information non communiquée,Information non communiquée,1969,,130 m²,Equipée,2,Mazout,Double vitrage,,,Non,,Sud,,5,Oui,,Oui,Non,Non,,,,,Oui,Non,1,Américaine,Oui,Oui,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9630/zwalm/rbt45946,RBT45946,Maison à vendre,519000,Kazernestraat 2D,9630 Zwalm,Excellent,Non,3,Non,Non,Non,Non,Non,Non,Non,Oui,1,1,3,Oui,464 m²,Non,8 kWh/m²/an,,,"oui, attestation conforme","Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,2022,,171 m²,Super équipée,2,,Double vitrage,,,,,,,,Oui,,,,,,Oui,,,Oui,,,,,,,,,,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9630/zwalm/rbt36285,RBT36285,Maison à vendre,449900,Heuvelgem 39,9630 Zwalm,À rénover,,4,,Oui,Oui,,,,,Oui,2,1,4,Oui,2768 m²,Non,1234 kWh/m²/an,,,,,Pas de risque d’inondation,Information non communiquée,1973,,276 m²,Semi-équipée,1,,Double vitrage,,,Non,Non,,,7,Oui,,Oui,Non,Non,,,,,Oui,Non,1,Kitchenette,Oui,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/9630/zwalm/rbt17270,RBT17270,Villa à vendre,298000,Zottegemsesteenweg 49,9630 Zwalm,À rénover,Non,3,Non,Non,Oui,Non,Non,Non,Non,Oui,1,1,4,Oui,1440 m²,Non,777 kWh/m²/an,,,"oui, attestation non conforme",Zone agricole,Pas de risque d’inondation,Information non communiquée,1969,A l’acte,214 m²,Equipée,2,Mazout,Simple vitrage,,Non,,,Sud,,6,,,,,Non,,Non,,,Non,Non,,,Oui,,,,,,,Non,Non,39 m²,6 m²,22 m²,12 m²,Non,Non,Oui,Non,Non,10 m,286 m²,17 m,"non, pas d'attestation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9630/zwalm/rbt05543,RBT05543,Maison à vendre,215000,Stationsstraat 3,9630 Zwalm,,,3,,Oui,,,,,,Oui,1,1,3,Oui,1230 m²,,1245 kWh/m²/an,20250312-0003551409-RES-1,,,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,1930,A l’acte,120 m²,,1,Mazout,Simple vitrage,Non,Non,Non,Non,Sud-ouest,3,2,Oui,Non,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9630/zwalm/rbs97987,RBS97987,Maison à vendre,495000,Zuidlaan 133 B,9630 Zwalm,,Non,4,Non,Oui,Non,Non,Non,Non,Non,Oui,1,1,3,Oui,431 m²,Non,23 kWh/m²/an,45065-G-OMV_2022098581/EP16934/A0001/D03/SD001,,,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,2024,A l’acte,298 m²,Equipée,2,Electrique,,Non,Non,Non,Non,Est,3,1,Oui,Non,,,Non,Non,Oui,,,,,,,,,,,,,,,,,,,,,,,,,9 m,,12 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/9630/hundelgem/rwc38161,RWC38161,Villa à vendre,376550,,9630 Hundelgem,Excellent,,3,,Oui,,,,,,,,1,4,Oui,,,,,,,,Information non communiquée,Information non communiquée,2025,A convenir,732 m²,Super équipée,,Non specifié,,,,,,,,,,,,,,,Oui,,,Oui,,,Américaine,Oui,Oui,,,,,,,Oui,,,,,,Oui,,,,,,,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9630/sint-maria-latem/vba99320,VBA99320,Maison à vendre,532438,,9630 Sint-Maria-Latem,Nouveau,,4,,,,,,,,,,2,4,,1967 m²,,,,,,,Information non communiquée,Information non communiquée,,,189 m²,,2,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,12 m,,12 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9630/munkzwalm/rbk10457,RBK10457,Maison à vendre,99000,Rekegemstraat 15 1,9630 Munkzwalm,,,2,,,,,,,,Oui,1,,,Oui,250 m²,,372 kWh/m²/an,20231120-0003040819-RES-1,,"non, pas d'attestation",Zone de loisirs,Risque moyen,Inondable délimitée,,,61 m²,,1,Gaz,,,,Non,,Sud,,,Oui,,,Non,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,90 m²,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9630/sint-maria-latem/rbj40699,RBJ40699,Maison à vendre,448000,Steenstraat 12,9630 Sint-Maria-Latem,,,4,,Oui,,,,,,Oui,1,2,,Oui,2037 m²,,398 kWh/m²/an,20231228-0003093821-RES-1,,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,,,229 m²,,2,Mazout,,,,Non,,Sud,,4,Oui,,Oui,Oui,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,199 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9630/beerlegem/rbt69835,RBT69835,Maison à vendre,275000,Beerlegemsebaan 22,9630 Beerlegem,À rénover,Non,3,Non,Non,Non,Non,Non,Non,Non,Oui,1,1,4,Oui,4106 m²,Non,648 kWh/m²/an,202211080002719368-RES-1,11/08/2032,"oui, attestation non conforme","Zone d'habitat (résidentiel, urbain ou rural)",Information non communiquée,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9630/zwalm/rbs94891,RBS94891,Maison à vendre,225000,Wafelstraat 51,9630 Zwalm,,Non,3,Non,Non,Non,Non,Non,Non,Non,Oui,3,1,3,Oui,624 m²,,491 kWh/m²/an,20250327-0003537182-RES-1,,,Zone agricole d'intérêt paysager,Pas de risque d’inondation,Information non communiquée,1918,A l’acte,139 m²,Equipée,1,Mazout,Double vitrage,Non,Non,Non,Non,Est,2,3,Oui,Non,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9630/zwalm/rbt48031,RBT48031,Maison à vendre,466500,Kerkstraat 34A,9630 Zwalm,Nouveau,Non,4,Non,Non,Non,Non,Non,Non,Non,Oui,1,2,3,Oui,427 m²,Non,,,,"oui, attestation conforme","Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,2024,,193 m²,,2,,Double vitrage,,,,,,,,Oui,,,,,,Oui,Oui,Sud,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9630/zwalm/rbt47124,RBT47124,Maison à vendre,355000,Borstekouterstraat 25,9630 Zwalm,À rénover,Non,3,Oui,,,,,,,Oui,1,1,4,Oui,1912 m²,Non,603 kWh/m²/an,,,"oui, attestation non conforme",,Information non communiquée,Information non communiquée,1969,,130 m²,Equipée,2,Mazout,Double vitrage,,,Non,,Sud,,5,Oui,,Oui,Non,Non,,,,,Oui,Non,1,Américaine,Oui,Oui,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9630/zwalm/rbt45946,RBT45946,Maison à vendre,519000,Kazernestraat 2D,9630 Zwalm,Excellent,Non,3,Non,Non,Non,Non,Non,Non,Non,Oui,1,1,3,Oui,464 m²,Non,8 kWh/m²/an,,,"oui, attestation conforme","Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,2022,,171 m²,Super équipée,2,,Double vitrage,,,,,,,,Oui,,,,,,Oui,,,Oui,,,,,,,,,,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9630/zwalm/rbt36285,RBT36285,Maison à vendre,449900,Heuvelgem 39,9630 Zwalm,À rénover,,4,,Oui,Oui,,,,,Oui,2,1,4,Oui,2768 m²,Non,1234 kWh/m²/an,,,,,Pas de risque d’inondation,Information non communiquée,1973,,276 m²,Semi-équipée,1,,Double vitrage,,,Non,Non,,,7,Oui,,Oui,Non,Non,,,,,Oui,Non,1,Kitchenette,Oui,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/9630/zwalm/rbt17270,RBT17270,Villa à vendre,298000,Zottegemsesteenweg 49,9630 Zwalm,À rénover,Non,3,Non,Non,Oui,Non,Non,Non,Non,Oui,1,1,4,Oui,1440 m²,Non,777 kWh/m²/an,,,"oui, attestation non conforme",Zone agricole,Pas de risque d’inondation,Information non communiquée,1969,A l’acte,214 m²,Equipée,2,Mazout,Simple vitrage,,Non,,,Sud,,6,,,,,Non,,Non,,,Non,Non,,,Oui,,,,,,,Non,Non,39 m²,6 m²,22 m²,12 m²,Non,Non,Oui,Non,Non,10 m,286 m²,17 m,"non, pas d'attestation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9630/zwalm/rbt05543,RBT05543,Maison à vendre,215000,Stationsstraat 3,9630 Zwalm,,,3,,Oui,,,,,,Oui,1,1,3,Oui,1230 m²,,1245 kWh/m²/an,20250312-0003551409-RES-1,,,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,1930,A l’acte,120 m²,,1,Mazout,Simple vitrage,Non,Non,Non,Non,Sud-ouest,3,2,Oui,Non,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9630/zwalm/rbs97987,RBS97987,Maison à vendre,495000,Zuidlaan 133 B,9630 Zwalm,,Non,4,Non,Oui,Non,Non,Non,Non,Non,Oui,1,1,3,Oui,431 m²,Non,23 kWh/m²/an,45065-G-OMV_2022098581/EP16934/A0001/D03/SD001,,,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,2024,A l’acte,298 m²,Equipée,2,Electrique,,Non,Non,Non,Non,Est,3,1,Oui,Non,,,Non,Non,Oui,,,,,,,,,,,,,,,,,,,,,,,,,9 m,,12 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/9630/hundelgem/rwc38161,RWC38161,Villa à vendre,376550,,9630 Hundelgem,Excellent,,3,,Oui,,,,,,,,1,4,Oui,,,,,,,,Information non communiquée,Information non communiquée,2025,A convenir,732 m²,Super équipée,,Non specifié,,,,,,,,,,,,,,,Oui,,,Oui,,,Américaine,Oui,Oui,,,,,,,Oui,,,,,,Oui,,,,,,,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9630/sint-maria-latem/vba99320,VBA99320,Maison à vendre,532438,,9630 Sint-Maria-Latem,Nouveau,,4,,,,,,,,,,2,4,,1967 m²,,,,,,,Information non communiquée,Information non communiquée,,,189 m²,,2,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,12 m,,12 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9630/munkzwalm/rbk10457,RBK10457,Maison à vendre,99000,Rekegemstraat 15 1,9630 Munkzwalm,,,2,,,,,,,,Oui,1,,,Oui,250 m²,,372 kWh/m²/an,20231120-0003040819-RES-1,,"non, pas d'attestation",Zone de loisirs,Risque moyen,Inondable délimitée,,,61 m²,,1,Gaz,,,,Non,,Sud,,,Oui,,,Non,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,90 m²,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9630/sint-maria-latem/rbj40699,RBJ40699,Maison à vendre,448000,Steenstraat 12,9630 Sint-Maria-Latem,,,4,,Oui,,,,,,Oui,1,2,,Oui,2037 m²,,398 kWh/m²/an,20231228-0003093821-RES-1,,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,,,229 m²,,2,Mazout,,,,Non,,Sud,,4,Oui,,Oui,Oui,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,199 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9630/munkzwalm/rbk10457,RBK10457,Maison à vendre,99000,Rekegemstraat 15 1,9630 Munkzwalm,,,2,,,,,,,,Oui,1,,,Oui,250 m²,,372 kWh/m²/an,20231120-0003040819-RES-1,,"non, pas d'attestation",Zone de loisirs,Risque moyen,Inondable délimitée,,,61 m²,,1,Gaz,,,,Non,,Sud,,,Oui,,,Non,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,90 m²,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9630/beerlegem/rbt69835,RBT69835,Maison à vendre,275000,Beerlegemsebaan 22,9630 Beerlegem,À rénover,Non,3,Non,Non,Non,Non,Non,Non,Non,Oui,1,1,4,Oui,4106 m²,Non,648 kWh/m²/an,202211080002719368-RES-1,11/08/2032,"oui, attestation non conforme","Zone d'habitat (résidentiel, urbain ou rural)",Information non communiquée,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9630/zwalm/rbs94891,RBS94891,Maison à vendre,225000,Wafelstraat 51,9630 Zwalm,,Non,3,Non,Non,Non,Non,Non,Non,Non,Oui,3,1,3,Oui,624 m²,,491 kWh/m²/an,20250327-0003537182-RES-1,,,Zone agricole d'intérêt paysager,Pas de risque d’inondation,Information non communiquée,1918,A l’acte,139 m²,Equipée,1,Mazout,Double vitrage,Non,Non,Non,Non,Est,2,3,Oui,Non,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9630/zwalm/rbt48031,RBT48031,Maison à vendre,466500,Kerkstraat 34A,9630 Zwalm,Nouveau,Non,4,Non,Non,Non,Non,Non,Non,Non,Oui,1,2,3,Oui,427 m²,Non,,,,"oui, attestation conforme","Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,2024,,193 m²,,2,,Double vitrage,,,,,,,,Oui,,,,,,Oui,Oui,Sud,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9630/zwalm/rbt47124,RBT47124,Maison à vendre,355000,Borstekouterstraat 25,9630 Zwalm,À rénover,Non,3,Oui,,,,,,,Oui,1,1,4,Oui,1912 m²,Non,603 kWh/m²/an,,,"oui, attestation non conforme",,Information non communiquée,Information non communiquée,1969,,130 m²,Equipée,2,Mazout,Double vitrage,,,Non,,Sud,,5,Oui,,Oui,Non,Non,,,,,Oui,Non,1,Américaine,Oui,Oui,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9630/zwalm/rbt45946,RBT45946,Maison à vendre,519000,Kazernestraat 2D,9630 Zwalm,Excellent,Non,3,Non,Non,Non,Non,Non,Non,Non,Oui,1,1,3,Oui,464 m²,Non,8 kWh/m²/an,,,"oui, attestation conforme","Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,2022,,171 m²,Super équipée,2,,Double vitrage,,,,,,,,Oui,,,,,,Oui,,,Oui,,,,,,,,,,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9630/zwalm/rbt36285,RBT36285,Maison à vendre,449900,Heuvelgem 39,9630 Zwalm,À rénover,,4,,Oui,Oui,,,,,Oui,2,1,4,Oui,2768 m²,Non,1234 kWh/m²/an,,,,,Pas de risque d’inondation,Information non communiquée,1973,,276 m²,Semi-équipée,1,,Double vitrage,,,Non,Non,,,7,Oui,,Oui,Non,Non,,,,,Oui,Non,1,Kitchenette,Oui,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/9630/zwalm/rbt17270,RBT17270,Villa à vendre,298000,Zottegemsesteenweg 49,9630 Zwalm,À rénover,Non,3,Non,Non,Oui,Non,Non,Non,Non,Oui,1,1,4,Oui,1440 m²,Non,777 kWh/m²/an,,,"oui, attestation non conforme",Zone agricole,Pas de risque d’inondation,Information non communiquée,1969,A l’acte,214 m²,Equipée,2,Mazout,Simple vitrage,,Non,,,Sud,,6,,,,,Non,,Non,,,Non,Non,,,Oui,,,,,,,Non,Non,39 m²,6 m²,22 m²,12 m²,Non,Non,Oui,Non,Non,10 m,286 m²,17 m,"non, pas d'attestation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9630/zwalm/rbt05543,RBT05543,Maison à vendre,215000,Stationsstraat 3,9630 Zwalm,,,3,,Oui,,,,,,Oui,1,1,3,Oui,1230 m²,,1245 kWh/m²/an,20250312-0003551409-RES-1,,,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,1930,A l’acte,120 m²,,1,Mazout,Simple vitrage,Non,Non,Non,Non,Sud-ouest,3,2,Oui,Non,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9630/zwalm/rbs97987,RBS97987,Maison à vendre,495000,Zuidlaan 133 B,9630 Zwalm,,Non,4,Non,Oui,Non,Non,Non,Non,Non,Oui,1,1,3,Oui,431 m²,Non,23 kWh/m²/an,45065-G-OMV_2022098581/EP16934/A0001/D03/SD001,,,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,2024,A l’acte,298 m²,Equipée,2,Electrique,,Non,Non,Non,Non,Est,3,1,Oui,Non,,,Non,Non,Oui,,,,,,,,,,,,,,,,,,,,,,,,,9 m,,12 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/9630/hundelgem/rwc38161,RWC38161,Villa à vendre,376550,,9630 Hundelgem,Excellent,,3,,Oui,,,,,,,,1,4,Oui,,,,,,,,Information non communiquée,Information non communiquée,2025,A convenir,732 m²,Super équipée,,Non specifié,,,,,,,,,,,,,,,Oui,,,Oui,,,Américaine,Oui,Oui,,,,,,,Oui,,,,,,Oui,,,,,,,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9630/sint-maria-latem/vba99320,VBA99320,Maison à vendre,532438,,9630 Sint-Maria-Latem,Nouveau,,4,,,,,,,,,,2,4,,1967 m²,,,,,,,Information non communiquée,Information non communiquée,,,189 m²,,2,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,12 m,,12 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
