ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_habitable,Meublé,Garage,Équipement_de_la_cuisine,Type_de_chauffage,Ascenseur,Orientation_de_la_façade_du_bien,Nombre_de_façades,Nombre_de_places_de_parking_extérieur,Jardin,Terrasse_aménagée,Surface_totale_du_terrain,Attestation__Installation_électrique,Type_de_zone_inondable,Zone_inondable_délimitée,Année_de_construction,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_du_séjour,Nombre_de_salles_de_bain,Nombre_de_toilettes,Panneaux_solaires,Type_de_vitrage,Parlophone,Accessible_aux_moins_valides,Étage_de_lappartement,Nombre_détages_de_limmeuble,Surface_du_jardin,Surface_de_la_terrasse,Orientation_de_la_terrasse,Piscine_extérieure,Conso_spécifique_dénergie_primaire,Emission_de_CO2,Bien_actuellement_loué,Caves,Grenier,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Nombre_de_Garages,Nombre_de_douches,Surface_constructible,Profondeur_du_terrain,Raccordé_au_gaz_de_ville,Raccordé_à_leau_courante,Référence_PEB,Date_de_validité_PEB,Porte_de_garage_motorisée,Clef_électronique,Surface_de_la_cuisine,Surface_de_lades_salles_de_bain,Panneaux_solaires_thermiques,Chauffage_au_sol,Air_conditionné,Domotique,Alarme_antieffraction,HammamSaunaJacuzzi,Feu_ouvert,Balcon,Le_bien_fait_lobjet_dun_droit_de_préemption,Attestation__Asbuilt,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_chambre_à_coucher_5,Raccordé_aux_égouts,Citerne_à_eau_de_pluie,Orientation_du_jardin,Conso_annuelle_totale_dénergie_primaire,Type_de_cuisine,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Station_de_charge_électrique,Largeur_de_la_façade,Largeur_du_terrain_à_rue,Surface_du_bureau,Surface_des_caves,Surface_salle_à_manger,Nombre_de_place_de_parking_intérieur,Pompe_à_chaleur,Attestation__Citernes_à_mazout,Maison_basse_énergie,Compteur_Bihoraire,Porte_daccès_sécurisée,Attestation__Installation_électrique__Validité,Surface_du_garage,Adoucisseur_deau,Surface_du_grenier
https://immovlan.be/fr/detail/fermette/a-vendre/5370/havelange/vbb56171,VBB56171,Fermette à vendre,,,5370 Havelange,À rénover,A l’acte,3,403 m²,,,,Mazout,Non,,4,6,Oui,Oui,4665 m²,"oui, attestation non conforme",Information non communiquée,Information non communiquée,,13 m²,13 m²,,1,2,,Double vitrage,,,,2,4044 m²,,,Non,642 kWh/m²/an,159,Non,Oui,Oui,,Oui,,,,,,,68 m,,Oui,,09/06/2033,,,16 m²,8 m²,,,,,,,,,Non,,,10 m²,,,,Oui,Est,116494 kWh/an,,,Non,,35 m,35 m,,39 m²,23 m²,,,,,,,,,,38 m²
https://immovlan.be/fr/detail/maison/a-vendre/5370/havelange/vbc84379,VBC84379,Maison à vendre,225000,Avenue de Criel 66,5370 Havelange,À rénover,,1,167 m²,,,,Mazout,Non,Est,,,,,170 m²,pas d'application,Pas de risque d’inondation,Information non communiquée,,,,,1,,,Simple vitrage,,Non,,2,,,,,444 kWh/m²/an,110,,Oui,Non,Non,,,,,,,,,,,20250523006593,23/05/2035,,,,12 m²,,,,,,,,,,,Non,,,,,,,73636 kWh/an,,,Non,,,,,8 m²,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5370/havelange/vbc83882,VBC83882,Maison à vendre,300000,Rue des Forges 2,5370 Havelange,Nouveau,Immédiatement,3,120 m²,Non,,Equipée,,Non,,,1,Oui,,,"oui, attestation conforme",Information non communiquée,Information non communiquée,,14 m²,11 m²,27 m²,1,1,Oui,Double vitrage,,Non,,,352 m²,,,Non,,,Non,Non,Non,Non,Non,Non,Non,Non,,,352 m²,,Oui,Oui,RWPEB-147307,,Non,Non,14 m²,8 m²,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,9 m²,,,,,,,,,,,,,,,,,,pas d'application,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/5370/havelange/vbc83881,VBC83881,Villa à vendre,360000,Rue des Forges 4,5370 Havelange,Nouveau,Immédiatement,4,150 m²,Non,Oui,Equipée,,Non,,,1,Oui,,,"oui, attestation conforme",Information non communiquée,Information non communiquée,,16 m²,12 m²,29 m²,2,1,Oui,Double vitrage,,Non,,,496 m²,,,,,,Non,,Oui,,,,,,,,608 m²,,Oui,Oui,RWPEB-147307,,Non,Non,12 m²,,,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,9 m²,11 m²,,,,,,,Oui,Oui,,,,,,,1,,pas d'application,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5370/havelange/vbc83880,VBC83880,Maison à vendre,320000,Rue des Forges 4,5370 Havelange,Nouveau,Immédiatement,3,135 m²,Non,,Equipée,,Non,,,1,Oui,,,"oui, attestation conforme",Information non communiquée,Information non communiquée,,12 m²,12 m²,31 m²,1,1,Oui,Double vitrage,,Non,,,496 m²,,,,,,Non,,,,,,,,,,496 m²,,Oui,Oui,RWPEB-147307,,Non,Non,12 m²,,,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,14 m²,,,,,,,,Oui,Oui,,,,,,,,,pas d'application,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5370/havelange/vbc83879,VBC83879,Maison à vendre,300000,Rue des Forges 3,5370 Havelange,Nouveau,Immédiatement,3,120 m²,Non,,Equipée,,Non,,,1,Oui,,,"oui, attestation conforme",Information non communiquée,Information non communiquée,,10 m²,9 m²,30 m²,1,1,Oui,Double vitrage,,Non,,,352 m²,,,Non,,,Non,Non,Non,Non,Non,Non,Non,Non,,,352 m²,,Oui,Oui,RWPEB-147307,,Non,Non,15 m²,6 m²,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,20 m²,,,,,,,,,,,,,,,,,,pas d'application,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5370/havelange/vbc83757,VBC83757,Maison à vendre,220000,,5370 Havelange,À rénover,A convenir,4,270 m²,Non,,,Gaz,Non,,3,5,Oui,Oui,1851 m²,"oui, attestation conforme",Information non communiquée,Information non communiquée,,,,20 m²,,1,,,,,,,1851 m²,,,,197 kWh/m²/an,41,Non,Non,Oui,Non,Non,Non,Non,Non,,1,116 m²,,,Oui,20250218001020,18/02/2035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/5370/havelange/vbc83883,VBC83883,Villa à vendre,350000,Rue des Forges 1,5370 Havelange,Nouveau,Immédiatement,4,152 m²,Non,Oui,,,Non,,,1,Oui,,,"oui, attestation conforme",Information non communiquée,Information non communiquée,,9 m²,10 m²,25 m²,1,1,Oui,Double vitrage,,Non,,,733 m²,,,Non,,,Non,Non,Non,Non,Non,Non,Non,Non,,,733 m²,,Oui,Oui,RWPEB-147307,,Non,Non,11 m²,8 m²,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,18 m²,11 m²,,,,,,,,,,,,,,,1,,pas d'application,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5370/havelange/vbc75810,VBC75810,Maison à vendre,285000,Allée du Bois de Bassin 24,5370 Havelange,Normal,Immédiatement,3,150 m²,Non,Oui,Equipée,,Non,,,1,Oui,Oui,,"oui, attestation conforme",Information non communiquée,Information non communiquée,,11 m²,25 m²,39 m²,1,1,,Double vitrage,,Non,,,1000 m²,18 m²,,Non,295 kWh/m²/an,,Non,Non,Oui,Non,Non,Non,Non,Non,,,1000 m²,,Non,Oui,20250512013005,,Non,Non,13 m²,10 m²,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,8 m²,,,,,,,,,,,,,,,,1,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5370/havelange/vbc67956,VBC67956,Maison à vendre,289000,Rue de la Station 126,5370 Havelange,,,4,160 m²,Non,Oui,Super équipée,Mazout,Non,Ouest,4,,Oui,Oui,1780 m²,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,,22 m²,18 m²,17 m²,1,2,,Double vitrage,,Non,,2,,65 m²,Est,Non,370 kWh/m²/an,92,Non,,Oui,,Oui,,,,2,1,,,,Oui,,29/04/2035,,,17 m²,8 m²,,,,,,,,,,,,12 m²,11 m²,,Oui,,,75124 kWh/an,,,,,,,,,22 m²,,,,,,,,,,85 m²
https://immovlan.be/fr/detail/maison/a-vendre/5370/havelange/vbc06060,VBC06060,Maison à vendre,209000,Rue de la Station 141,5370 Havelange,Normal,,4,182 m²,,Oui,,Mazout,Non,Sud-ouest,,,Oui,Oui,366 m²,"non, pas d'attestation",Risque moyen,Information non communiquée,,,,,1,,,Double vitrage,,Non,,2,,,,,417 kWh/m²/an,103,,Oui,Non,Non,,,,,1,,67 m²,,,,20241022016997,22/10/2034,,,,,,,,,,,,,,,Non,,,,,,,68090 kWh/an,,,Non,,5 m,5 m,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5370/havelange/vbc34949,VBC34949,Maison à vendre,265000,,5370 Havelange,Excellent,A l’acte,3,132 m²,Non,,Equipée,Mazout,Non,Sud-est,2,1,Oui,Oui,360 m²,"non, pas d'attestation",Pas de risque d’inondation,Information non communiquée,2001,15 m²,8 m²,16 m²,1,2,,Double vitrage,,Non,,,,,Nord-est,,325 kWh/m²/an,81,Non,Oui,Oui,,Oui,,,,,,,,,Oui,,,,,7 m²,5 m²,,,,,,,,,,,,7 m²,,,Non,,Nord-est,49825 kWh/an,Américaine,,,,,,,6 m²,29 m²,,,,,,,,,,28 m²
https://immovlan.be/fr/detail/maison/a-vendre/5370/havelange/vbb78339,VBB78339,Maison à vendre,250000,,5370 Havelange,Nouveau,,3,110 m²,Non,,Super équipée,Gaz,Non,Sud-est,3,1,Oui,Oui,600 m²,"oui, attestation conforme",Information non communiquée,Information non communiquée,2024,,,41 m²,1,2,Oui,,,,,2,600 m²,,,,,,,,,,,,,,,,55 m²,,,,RWPEB 134248,,,,,,,,,,,,,,,,,,,,,,,78 kWh/an,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5370/havelange/vbb78338,VBB78338,Maison à vendre,250000,,5370 Havelange,Nouveau,,3,110 m²,Non,,Super équipée,Gaz,Non,Sud-est,3,1,Oui,Non,603 m²,"oui, attestation conforme",Information non communiquée,Information non communiquée,2024,,,41 m²,1,2,Oui,,,,,2,603 m²,,,,,,,,,,,,,,,,55 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5370/havelange/vbb72652,VBB72652,Maison à vendre,159000,Rue de la Station 43,5370 Havelange,À rénover,,4,180 m²,Non,,Semi-équipée,Mazout,Non,,2,,Non,Oui,107 m²,"oui, attestation conforme",Information non communiquée,Information non communiquée,,,,,,2,,,,,,2,,,,,366 kWh/m²/an,91,,,Oui,,,,,,,1,,,,Oui,20221011009246,11/10/2032,,,,,,,,,,,,,,,,,,,,,,67019 kWh/an,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5370/havelange/vbc60726,VBC60726,Maison à vendre,325000,Rue Valentin Hougardy 5,5370 Havelange,,A l’acte,3,130 m²,Non,Oui,,Mazout,Non,Sud-ouest,4,2,Oui,Oui,604 m²,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,1990,,,38 m²,1,1,,,,,,1,,20 m²,,,334 kWh/m²/an,84,Non,Non,Oui,Non,Non,Non,Non,Non,1,,110 m²,9 m,,Oui,20250408008158,08/04/2035,,,,,,,,,,,,,Non,,,,,,,,,58929 kWh/an,,Oui,Oui,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5370/havelange/vbb36150,VBB36150,Maison à vendre,159000,Rue de la Station 80,5370 Havelange,À rénover,,3,188 m²,Non,Oui,Semi-équipée,Mazout,Non,Nord-est,2,,Oui,Non,325 m²,"oui, attestation non conforme",Information non communiquée,Information non communiquée,1875,,,,1,1,,,,,,2,,,,,618 kWh/m²/an,28815,Non,Non,Oui,Non,Non,Non,Non,Non,1,,,,,Oui,20240320026478,20/03/2025,,,,,,,,,,,,,,,,,,,,,,116432 kWh/an,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5370/barvaux-condroz/vbc89454,VBC89454,Maison à vendre,395000,La Foulerie 85,5370 Barvaux-Condroz,Normal,A l’acte,4,170 m²,Non,,Equipée,Mazout,Non,,4,,Oui,Oui,1115 m²,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,,22 m²,15 m²,16 m²,1,,Oui,Double vitrage,,Non,,2,,,,Non,319 kWh/m²/an,,Non,Oui,Oui,,Oui,,,,,,,,,Oui,,,,,17 m²,5 m²,,,,,,,,,Non,,,13 m²,11 m²,,Non,Oui,,64778 kWh/an,Américaine,Oui,,,,,,8 m²,30 m²,,,,,,,,,,20 m²
